id,name,genre,brand,sticker,price,previous_price,discount,description,rating,n_reviews,color,_id
8648081,Balón de baloncesto adulto BT500 Grip talla 7 - Marrón Naranja,Unisex,TARMAK,,29.99,,False,"Talla oficial 7 de baloncesto diseñado para jugar en interiores o en exteriores, para adultos, y niños a partir de 13 años.",4.7,133,,6642580ef8fe2680f3a09adb
8648079,Balón de baloncesto FIBA talla 6 - BT500 Touch Naranja,Unisex,TARMAK,,24.99,,False,"Balón de baloncesto de talla 6, adecuado para jugar en el exterior y/o en el interior, para niñas/mujeres a partir de 11 años y niños de 11 a 12 años.",4.8,31,,66425817f8fe2680f3a09adc
8753534,Balón de fútbol Softball XLight talla 5 290 gramos azul,Unisex,KIPSTA,,8.49,,False,Nuestros ingenieros han desarrollado el Softball para el aprendizaje del fútbol. Balón muy ligero para que los más pequeños se inicien en el fútbol cómodamente.,4.4,179,,6642581ff8fe2680f3a09add
8648082,Balón de baloncesto talla 7 - BT500 FIBA - Marrón,Unisex,TARMAK,,24.99,,False,"Balón de baloncesto de talla 7, adecuado para jugar al baloncesto en exterior y/o en interior, para niños y hombres a partir de 13 años según las reglas FIBA.",4.6,231,,66425828f8fe2680f3a09ade
8591171,Balón EuroLeague Spalding TF1000 Talla 7,Unisex,SPALDING,,76.99,85.0,True,Balón de baloncesto SPALDING TF1000 EUROLEAGUE de talla 7 oficial homologado FIBA para niños y hombres a partir de 13 años en competición en interior.,4.6,7,,66425831f8fe2680f3a09adf
8734568,Balón de fútbol sala Club FIFA Basic,Unisex,KIPSTA,,19.99,,False,"Hemos desarrollado este balón para jugadores de fútbol sala que practican tanto en parquet y PVC como en superficies más abrasivas (asfalto, cemento).",4.5,41,amarillo limón fluorescente / blanco nieve,6642583af8fe2680f3a09ae0
8648075,Balón de baloncesto Talla 6 - BT100 Touch Marrón,Unisex,TARMAK,,16.99,,False,"Balón de baloncesto de talla 6 oficial, adecuado para jugar al baloncesto en exterior o interior, para niños de 11 a 12 años y niñas a partir de 11 años",4.3,17,,66425842f8fe2680f3a09ae1
8618595,Balón Baloncesto Tarmak R500 Talla 7 Rojo,Unisex,TARMAK,,14.99,,False,"Balón baloncesto talla 7 oficial, adecuado para jugar al baloncesto en exterior y/o en interior, para jugadores hombres a partir de 13 años, según reglas FIBA.",4.5,378,,6642584bf8fe2680f3a09ae2
816f8b31-e155-4d7d-9266-7df0c39682b4_c20.c197.c30,Balón de baloncesto Molten B6G3800 Talla 6,Unisex,MOLTEN,,54.95,,False,"Diseñado en color marrón, de construcción laminada y cuenta con la homologación FIBA. Compuesto por 12 paneles y una cámara interior de butilo que mantiene la presión del aire evitando su perdida.",,0,naranja / naranja / beige,66425854f8fe2680f3a09ae3
c57c16eb-dbdc-486e-a989-6c637da748ff_c22.c5,Balón de baloncesto Wilson FIBA 3X3 Replica,Unisex,WILSON,,27.95,,False,Balón de baloncesto Wilson Replica FIBA 3x3 confeccionado para continuar con el aspecto y la sensación similar a los del balón oficial de baloncesto FIBA 3x3,,0,amarillo / azul,6642585df8fe2680f3a09ae4
8668646,BALÓN DE FÚTBOL ESPAÑA TALLA 5 2024,Unisex,KIPSTA,,11.99,,False,Concebido para los futbolistas que quieren jugar de forma ocasional con un balón que luzca los colores de su país o de su equipo favorito.,4.0,5,,66425866f8fe2680f3a09ae5
8604444,BALÓN DE VOLEIBOL OUTDOOR VBO500 AZUL OSCURO Y AMARILLO,Unisex,ALLSIX,,19.99,,False,Este balón ha sido diseñado para la práctica del voleibol en exteriores y es perfecto para tus sesiones de entrenamiento al aire libre.,4.0,25,,6642586ef8fe2680f3a09ae6
8649589,Balón de vóley playa 100 Classic cosido Talla 3 s Verde Totem,Niño,COPAYA,,6.99,,False,"Nuestro equipo de diseño ha creado este balón talla 3 para el nivel iniciación y la práctica de ocio del vóley playa, para niños a partir de 6 años.",4.6,54,menta pastel,66425877f8fe2680f3a09ae7
8733233,"Balón de voleibol V500 gris, azul y rojo",Unisex,KIPSTA,,17.99,,False,¿Eres un(a) jugador(a) de nivel perfeccionamiento y controlas la mayoría de los gestos técnicos? ¡Este balón de voleibol es perfecto para ti!,4.4,143,gris niebla,66425880f8fe2680f3a09ae8
8734255,Balón de Baloncesto Tarmak K500 Aniball s Iniciación Rojo Azul,Niño,TARMAK,,14.99,,False,Balón de baloncesto adecuado para jugar en exterior/interior. Este balón de baloncesto de talla 4 es adecuado para niños y niñas de 4 a 7 años.,4.7,144,azul / rojo intenso,66425889f8fe2680f3a09ae9
8649591,BALÓN DE VÓLEY PLAYA RÉPLICA HÍBRIDO 500 AMARILLO AZUL,Unisex,COPAYA,,16.99,,False,"Desarrollado por nuestros equipos, nuestro balón de vóley playa te acompaña durante tus entrenamientos y partidos.",4.6,108,,66425892f8fe2680f3a09aea
8809227,BALÓN DE FÚTBOL PLAYA HÍBRIDO LIGHT TALLA 5 BLANCO / NARANJA,Unisex,KIPSTA,,16.99,,False,Hemos diseñado este balón de fútbol playa light para niños. Es más ligero para facilitar el aprendizaje del fútbol playa a nivel de club o de ocio.,,0,blanco / naranja,6642589bf8fe2680f3a09aeb
8734249,Balón de baloncesto talla 3 niño - K500 Rubber azul rojo,Unisex,TARMAK,,9.99,,False,"Balón de baloncesto de talla 3 adecuado para jugar en exterior o en interior, para niños de entre 4 y 6 años.",4.8,125,,664258a3f8fe2680f3a09aec
8841164,BALÓN DE RUGBY NIÑO - R100 INICIACIÓN TALLA 3 AMARILLO,Unisex,OFFLOAD,,9.99,,False,Nuestros equipos han desarrollado este balón ligero para la iniciación al rugby. Es de talla 3 (de 5 a 9 años). ¡Los niños marcarán sus primeros ensayos!,5.0,4,amarillo plátano / smoked black,664258acf8fe2680f3a09aed
8812730,Balón de fútbol playa Puma Naranja,Unisex,PUMA,,19.99,,False,Diseñado para la práctica del fútbol playa.,5.0,8,naranja,664258b5f8fe2680f3a09aee
8790029,Balón de fútbol híbrido FIFA BASIC CLUB BALL talla 4 blanco,Unisex,KIPSTA,,14.99,,False,"Homologado por la FIFA para los entrenamientos y las competiciones, hemos diseñado el CLUB HÍBRIDO, un balón que combina una buena comodidad de uso con una gran durabilidad.",5.0,9,blanco nieve,664258bdf8fe2680f3a09aef
8753544,Balón de fútbol Light LEARNING BALL AZUL VEET VIOLETA TALLA 4,Unisex,KIPSTA,,9.99,,False,Hemos diseñado el balón LEARNING BALL específicamente para los niños. Es más ligero que un balón de fútbol tradicional para facilitar el aprendizaje,4.5,84,blanco nieve,664258c6f8fe2680f3a09af0
8855483,Balón de baloncesto NBA talla 7 - Wilson Team Tribute Chicago Bulls,Unisex,WILSON,,22.99,29.99,True,"Balón de baloncesto con los colores de los Bulls de Chicago de la NBA, talla 7, para niños y adultos, ideal para jugar al baloncesto en interior y/o en exterior.",5.0,1,,664258cff8fe2680f3a09af1
8747322,Balón baloncesto NBA talla 7 - NBA OFFICIAL GAME BALL Marrón,Unisex,WILSON,,195.99,,False,Este balón ha sido concebido para el baloncesto de competición.,,0,,664258d7f8fe2680f3a09af2
8804087,Balón de Rugby Talla 5 España,Unisex,OFFLOAD,,14.99,,False,Este balón se ha diseñado para los entrenamientos.Disponible T5 mayores de 15 años en el color de tu selección para mostrar tu apoyo.,,0,rojo fluo / amarillo sol,664258e0f8fe2680f3a09af3
